proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,draw,alpha,n,error_cells,coverage,acc,pi0,pi_alpha,pi_alpha_floor,n_strata,strata_certifiable,A,A_queue,R,covered,gap,empty,predicted_empty
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,1,0.1,5011,11059,0.4531,0.1549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,1,0.2,5011,11059,0.4531,0.1549,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,2,0.05,5175,11059,0.4679,0.155,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,2,0.1,5175,11059,0.4679,0.155,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,2,0.2,5175,11059,0.4679,0.155,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,3,0.05,4852,11059,0.4387,0.1573,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,3,0.1,4852,11059,0.4387,0.1573,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,marginal,marginal,3,0.2,4852,11059,0.4387,0.1573,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0,0.05,4304,11059,0.3892,0.1822,0.0,0.0,0.0,10,0,0.0,0.0,0.0,True,0.0,True,True
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0,0.1,4304,11059,0.3892,0.1822,0.0,0.1341,0.1341,10,1,0.0537,0.0209,0.0222,True,-0.0804,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,0,0.2,4304,11059,0.3892,0.1822,0.0,0.1341,0.1341,10,1,0.1341,0.0522,0.0473,True,0.0,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,1,0.05,5011,11059,0.4531,0.1549,0.0,0.1151,0.1151,10,1,0.0,0.0,0.0,True,-0.1151,True,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,1,0.1,5011,11059,0.4531,0.1549,0.0,0.1151,0.1151,10,1,0.0691,0.0313,0.0323,True,-0.046,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,1,0.2,5011,11059,0.4531,0.1549,0.0,0.1151,0.1151,10,1,0.1152,0.0522,0.0493,True,0.0001,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,2,0.05,5175,11059,0.4679,0.155,0.0,0.1094,0.1094,10,1,0.0,0.0,0.0,True,-0.1094,True,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,2,0.1,5175,11059,0.4679,0.155,0.0,0.1094,0.1094,10,1,0.0875,0.0409,0.0344,True,-0.0219,False,False
