proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,alpha,draws,n,coverage,acc,pi0,pi_alpha,pi_alpha_floor,A,A_min,A_max,A_queue,R,covered,R_max,gap,empty,predicted_empty
baran,hospital,inner,70,hospital_ni_inner70,0.35847,mondrian,column,0.1,3,4626.0,0.6792,0.2875,0.0268,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,hospital,inner,70,hospital_ni_inner70,0.35847,mondrian,column,0.2,3,4626.0,0.6792,0.2875,0.0268,0.0356,0.0268,0.0269,0.0,0.0273,0.0183,0.0,True,0.0,0.0001,False,False
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,marginal,marginal,0.05,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,marginal,marginal,0.1,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,marginal,marginal,0.2,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,mondrian,column,0.05,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,mondrian,column,0.1,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,10,rayyan_ni_inner10,0.09082,mondrian,column,0.2,4,500.5,0.501,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,marginal,marginal,0.05,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,marginal,marginal,0.1,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,marginal,marginal,0.2,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,mondrian,column,0.05,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,mondrian,column,0.1,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,30,rayyan_ni_inner30,0.24036,mondrian,column,0.2,4,1152.5,0.4359,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,marginal,marginal,0.05,4,1056.5,0.2665,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,marginal,marginal,0.1,4,1056.5,0.2665,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,marginal,marginal,0.2,4,1056.5,0.2665,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,mondrian,column,0.05,4,1056.5,0.2665,0.18,0.0166,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,mondrian,column,0.1,4,1056.5,0.2665,0.18,0.0166,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,50,rayyan_ni_inner50,0.36036,mondrian,column,0.2,4,1056.5,0.2665,0.18,0.0166,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,marginal,marginal,0.05,4,1619.5,0.3216,0.2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,marginal,marginal,0.1,4,1619.5,0.3216,0.2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,marginal,marginal,0.2,4,1619.5,0.3216,0.2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,mondrian,column,0.05,4,1619.5,0.3216,0.2331,0.0145,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,mondrian,column,0.1,4,1619.5,0.3216,0.2331,0.0145,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
baran,rayyan,inner,70,rayyan_ni_inner70,0.45773,mondrian,column,0.2,4,1619.5,0.3216,0.2331,0.0145,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,True,True
