proposer,dataset,detection,scoring,strata,alpha,delta,seeds,errors_before,n_test,edr_apply_all,edr_apply_all_min,apply_all_negative_seeds,edr_care,edr_care_min,care_negative_seeds,edr_care_table,n_auto,n_changes,fixes,breaks,still_wrong,bound_violations,bound_violations_while_covered
GPT-4o-mini,rayyan,oracle,detected,mondrian,0.05,0.1,10,568,568,0.0065,0.0035,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,rayyan,oracle,detected,mondrian,0.1,0.1,10,568,568,0.0065,0.0035,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,rayyan,oracle,detected,mondrian,0.2,0.1,10,568,568,0.0065,0.0035,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
RetClean,flights,oracle,detected,mondrian_src,0.05,0.1,10,1828,1828,0.3786,0.3676,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
RetClean,flights,oracle,detected,mondrian_src,0.1,0.1,10,1828,1828,0.3786,0.3676,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
RetClean,flights,oracle,detected,mondrian_src,0.2,0.1,10,1828,1828,0.3786,0.3676,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
HoloClean,hospital,oracle,errors,mondrian,0.05,0.1,10,140,140,1.0,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
HoloClean,hospital,oracle,errors,mondrian,0.1,0.1,10,140,140,1.0,1.0,0,0.7214,0.7214,0,0.1984,101,101,101,0,0,0,0
HoloClean,hospital,oracle,errors,mondrian,0.2,0.1,10,140,140,1.0,1.0,0,1.0,1.0,0,0.275,140,140,140,0,0,0,0
HoloClean,flights,oracle,errors,mondrian,0.05,0.1,10,1404,1404,0.7416,0.7386,0,0.6447,0.4915,0,0.184,915.8,915.8,905.2,0,10.6,0,0
HoloClean,flights,oracle,errors,mondrian,0.1,0.1,10,1404,1404,0.7416,0.7386,0,0.6658,0.6638,0,0.19,948,948,934.8,0,13.2,0,0
HoloClean,flights,oracle,errors,mondrian,0.2,0.1,10,1404,1404,0.7416,0.7386,0,0.6658,0.6638,0,0.19,948,948,934.8,0,13.2,0,0
